Market,ASEAN Market
PT BARITO PACIFIC TIMBER,1
PT BRIDGESTONE TIRE INDONESIA,1
PT CALTEX PACIFIC INDONESIA,1
PT CHANDRA ASRI PETROCHEMICAL,1
PT CHEVRON PACIFIC INDONESIA,1
PT DIAN ABADI PERKASA,1
PT DOK DAN PERKAPALAN SURABAYA,1
PT GAJAH TUNGGAL TBK,1
PT HINO MOTORS MANUFACTURING,1
PT HINO MOTORS SALES INDONESIA,1
PT HONDA LOCK INDONESIA,1
PT HONDA POWER PRODUCTS,1
PT HONDA PRECISION PARTS,1
PT HONDA PROSPECT MOTOR,2
PT HONDA TRADING INDONESIA,1
PT INDOCEMENT TUNGGAL PRAKARSA,1
PT LG CNS INDONESIA,1
PT LG INNOTEK INDONESIA,1
PT MAGMA NUSANTARA LIMITED,1
PT MINERAL INDUSTRI INDONESIA,1
PT MITRA PINASTHIKA MULIA,1
PT MITRA PINASTHIKA MUSTIKA,1
PT PAL INDONESIA (PERSERO),1
PT PEMBANGUNAN PERUMAHAN,1
PT PETROKIMIA GRESIK,1
PT PINDAD (PERSERO),1
PT PUPUK INDONESIA (PERSERO),1
PT PUPUK ISKANDAR MUDA,1
PT PUPUK KALIMANTAN TIMUR TBK,1
PT PUPUK KUJANG,1
PT SEMEN BATURAJA,1
PT SEMEN TONASA (PERSERO),1
PT SMELTING,2
PT STYRINDO MONO INDONESIA,1
PT SURVEYOR INDONESIA,1
PT TAMBANG BATUBARA BUKIT ASAM,2
PT TOYO-BESQ PRECISION PARTS,1
PT TOYOTA MOTOR MANUFACTURING,1
PT TOYOTA TSUSHO INDONESIA,1
PT UNOCAL INDONESIA CO,1
PT YAMAHA INDONESIA MOTOR MFG,1
PT YAMAHA MOTOR PARTS,1
PT(PERSERO) WASKITA KARYA,1
PT. ADHI KARYA (PERSERO) TBK.,1
PT. ALCAR CHEMCO INDONESIA,1
PT. CHANDRA ASRI PETROCHEMICAL,1
PT. COGINDO DAYABERSAMA,1
PT. DIRGANTARA INDONESIA,1
PT. INDOCEMENT TUNGGAL,1
PT. JASA DAYA CHEVRON,1
PT. JTEKT INDONESIA,1
PT. MANDAU CIPTA TENAGA,1
PT. PERTAMINA HULU INDONESIA,1
PT. SANTOS JAYA ABADI,1
PT. TIMAH TBK,1
PT.TD AUTOMOTIVE COMPRESSOR,1
STAR ENERGY (KAKAP) LTD,1
STAR ENERGY GEOTHERMAL,3
STAR ENERGY GEOTHERMAL DARAJAT,1
"STAR ENERGY GEOTHERMAL SALAK,",1
Select Client BPST - New,46
T0012336,2
PT BANK ICBC INDONESIA,1
PT. BANK ICBC INDONESIA,1
T0012342,12
KALLA GROUP,1
PT BFI FINANCE INDONESIA TBK,1
PT BLUE BIRD TBK,1
PT DINAMIKA USAHAJAYA,1
PT KHARISMA PEMASARAN BERSAMA,1
PT LION WINGS,1
PT MITRA MANDIRI INFORMATIKA,3
PT SEPATU MAS IDAMAN,1
PT ULTRAJAYA MILK INDUSTRY &,1
PT UNILEVER INDONESIA TBK,1
T0012344,32
BP AMERICA PRODUCTION COMPANY,1
BP BERAU LTD,1
"BUT. INPEX MASELA, LTD",1
EXXONMOBIL OIL INDONESIA INC,1
PT BERAU COAL,1
PT CIPTA KRIDATAMA,1
PT DOWELL SCHLUMBERGER INDONES,1
PT ENERGI MEGA PERSADA TBK,1
PT ENI INDONESIA,1
PT ESSO INDONESIA INC,1
PT FAJAR SURYA WISESA,1
PT GEOSERVICES,1
PT INPEX CORPORATION,1
PT KAO INDONESIA,1
PT KAO INDONESIA CHEMICALS,1
PT MEDCO E&P INDONESIA,2
PT RESWARA MINERGI HARTAMA,1
PT SCHLUMBERGER GEOPHYSICS NUS,1
PT SCHLUMBERGER GEOPHYSICSS,1
PT SEMEN INDONESIA (PERSERO),1
PT WESTERNGECO INDONESIA,1
PT. BERAU COAL ENERGY TBK,1
PT. BP PETROCHEMICALS,1
PT. CASTROL INDONESIA,1
PT. CASTROL MANUFACTURING,1
PT. DONGGI-SENORO LNG,1
PT. MEDCO POWER INDONESIA,1
PT. RIAU ANDALAN PULP & PAPER,1
PT. SUNGAI BUDI,1
PT. VARIA USAHA,1
SAKA FARMA LABORATORIES,1
Indonesia ST-BPS-S4,147
Select Client BPST - Existing,121
T0012337,11
T0012338,27
T0012347,59
BADAN PENGAWASAN KEUANGAN DAN,1
BADAN PUSAT STATISTIK,1
BAPPENAS C/O DEPKEU,1
DEPARTEMEN KEUANGAN RI,1
DINAS KOMUNIKASI DAN INFORMASI,2
DINAS KOMUNIKASI DAN INFORMAT-,1
DINAS KOMUNIKASI DAN INFORMATI,1
DIREKTORAT JENDERAL,1
DIREKTORAT JENDERAL ANGGARAN,1
DIREKTORAT JENDERAL KEKAYAAN,1
DIREKTORAT JENDERAL PAJAK,1
DIREKTORAT JENDRAL BEA & CUKAI,1
DIREKTORAT JENDRAL IMIGRASI,1
INSTITUT TEKNOLOGI SURABAYA,1
KEMENTERIAN ENERGI DAN SUMBER,1
KEMENTERIAN KOMUNIKASI DAN,1
KEMENTRIAN KEUANGAN,1
KEMENTRIAN KOMUNIKASI DAN,1
LEMBAGA PENYIARAN PUBLIK,1
"PARIT PADANG GLOBAL, PT",1
PELABUHAN I MEDAN,1
PEMERINTAH KOTA SURABAYA,1
PERUM LEMBAGA PENYELENGGARA,1
PERUM PERCETAKAN UANG RI,1
PT (PERSERO) PELABUHAN,2
PT (PERSERO) PELABUHAN IND IV,1
PT ARUN NGL CO,1
PT BNI MULTIFINANCE,1
PT INDONESIA LOGISTICS,1
PT INDUSTRI KERETA API,1
PT KRAKATAU INFORMATION,1
PT KRAKATAU STEEL,2
PT KRAKATAU STEEL (PERSERO),1
PT PARIT PADANG,1
PT PHAPROS,1
PT(PERSERO) PELABUHAN IND II,1
PT. ASURANSI JIWA IFG,1
PT. HUTAMA KARYA (PERSERO),1
PT. INDONESIA ASAHAN ALUMINIUM,1
PT. KRAKATAU POSCO,1
PT. PELINDO MARINE SERVICES,1
PT. PELITA AIR SERVICE,1
PT. PEMBANGUNAN PERUMAHAN,1
PT. PENJAMINAN INFRASTRUKTUR,1
PT. POLYTAMA PROPINDO,1
PT. SEMEN INDONESIA LOGISTIK,1
PT. SOHO GLOBAL HEALTH,1
PT. SOHO INDUSTRI PHARMASI,1
PT.KRAKATAU NIPPON STEEL,1
PT.PELINDO HUSADA CITRA,1
RSUD DR. SOETOMO,1
UNIVERSITAS AIRLANGGA,1
UNIVERSITAS GAJAH MADA,1
UNIVERSITAS ISLAM INDONESIA,1
UNIVERSITAS SEBELAS MARET,1
UNIVERSITY OF INDONESIA,1
T0012348,24
BADAN INTELIJEN  NEGARA,1
BADAN INTELIJEN NEGARA,1
BADAN NARKOTIKA NASIONAL,1
BAINTELKAM POLRI,1
BARESKRIM MABES POLRI,1
DENSUS 88 AT POLRI,1
DINAS KESEHATAN DKI,1
DIREKTORAT LALU LINTAS POLRI,1
KDPE PEMDA DKI JAYA,1
KEMENTERIAN HUKUM DAN HAM,1
KOMISI PEMBERANTASAN KORUPSI,1
KORLANTAS POLRI,1
MABAK DISINFOLAHTA,1
MABES POLRI - PUSINFOLAHTA DIV,1
MARKAS BESAR KEPOLISIAN NEGARA,1
PEMERINTAH PROPINSI DKI,1
PEMERINTAH PROVINSI DKI,1
PT LRT JAKARTA,1
PT NVPD SOEDARPO CORPORATION,1
